Period,Scenario,LoadLevel,Unit,p.u.
2030,sc01,01-28 19:00:00+01:00,CT NG 67,0.1523408952650432
2030,sc01,01-28 19:00:00+01:00,ST NG 06,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 17,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 56,1.0
2030,sc01,01-28 19:00:00+01:00,CC NG 37,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 07,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 22,0.10618114178757421
2030,sc01,01-28 19:00:00+01:00,CC NG 23,0.1435740600725406
2030,sc01,01-28 19:00:00+01:00,CC NG 13,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 08,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 09,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 29,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 10,0.9134540537422193
2030,sc01,01-28 19:00:00+01:00,CT NG 74,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 75,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 03,0.0
2030,sc01,01-28 19:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 19,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 05,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 39,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 11,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 68,1.0
2030,sc01,01-28 19:00:00+01:00,CC NG 21,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 48,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 41,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 15,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 01,0.026648388600774897
2030,sc01,01-28 19:00:00+01:00,CC NG 16,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 70,1.0
2030,sc01,01-28 19:00:00+01:00,CT NG 36,0.0
2030,sc01,01-28 19:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 53,0.0
2030,sc01,01-28 19:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 13,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 11,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 35,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 72,1.0
2030,sc01,01-28 19:00:00+01:00,CC NG 34,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 73,1.0
2030,sc01,01-28 19:00:00+01:00,ST NG 03,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 46,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 69,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 25,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 03,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 25,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 20,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 16,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 05,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 22,0.0
2030,sc01,01-28 19:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 14,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 28,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 09,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 21,0.0
2030,sc01,01-28 19:00:00+01:00,CT Oil 04,0.0
2030,sc01,01-28 19:00:00+01:00,ST Other 02,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 08,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 04,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 31,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 50,1.0
2030,sc01,01-28 19:00:00+01:00,CC NG 24,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 10,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 71,1.0
2030,sc01,01-28 19:00:00+01:00,CC NG 05,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 49,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 27,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 40,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 33,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 43,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 26,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 52,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 23,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 42,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 38,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 44,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 04,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 24,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 02,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 54,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 66,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 01,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 55,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 04,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 06,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 07,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 30,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 07,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 14,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 45,0.0
2030,sc01,01-28 19:00:00+01:00,CT Oil 05,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 10,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 12,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 47,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 09,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 01,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 08,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 12,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 32,0.0
2030,sc01,01-28 19:00:00+01:00,ST NG 02,0.0
2030,sc01,01-28 19:00:00+01:00,CC NG 18,0.11100038872135409
2030,sc01,01-28 19:00:00+01:00,CC NG 36,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 28,0.0
2030,sc01,01-28 19:00:00+01:00,CT NG 15,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 34,1.0
2030,sc01,01-28 22:00:00+01:00,CC NG 35,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 06,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 26,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 67,0.0
2030,sc01,01-28 22:00:00+01:00,ST NG 06,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 17,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 56,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 37,1.0
2030,sc01,01-28 22:00:00+01:00,ST NG 07,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 22,0.286766264135495
2030,sc01,01-28 22:00:00+01:00,CC NG 23,0.07653543981138455
2030,sc01,01-28 22:00:00+01:00,CC NG 13,0.0
2030,sc01,01-28 22:00:00+01:00,ST NG 08,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 09,1.0
2030,sc01,01-28 22:00:00+01:00,CC NG 29,1.0
2030,sc01,01-28 22:00:00+01:00,ST NG 10,0.08654594625778064
2030,sc01,01-28 22:00:00+01:00,CT NG 74,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 75,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 03,0.0
2030,sc01,01-28 22:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 19,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 05,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 39,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 11,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 68,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 21,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 48,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 41,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 15,0.0
2030,sc01,01-28 22:00:00+01:00,ST NG 01,0.9733516113992251
2030,sc01,01-28 22:00:00+01:00,CC NG 16,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 70,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 36,1.0
2030,sc01,01-28 22:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 53,0.0
2030,sc01,01-28 22:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 13,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 11,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 35,1.0
2030,sc01,01-28 22:00:00+01:00,CT NG 72,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 34,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 73,0.0
2030,sc01,01-28 22:00:00+01:00,ST NG 03,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 46,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 69,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 25,1.0
2030,sc01,01-28 22:00:00+01:00,CT NG 03,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 25,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 20,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 16,0.0
2030,sc01,01-28 22:00:00+01:00,ST NG 05,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 22,0.0
2030,sc01,01-28 22:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 14,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 28,0.34032292632917394
2030,sc01,01-28 22:00:00+01:00,ST NG 09,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 21,0.0
2030,sc01,01-28 22:00:00+01:00,CT Oil 04,0.0
2030,sc01,01-28 22:00:00+01:00,ST Other 02,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 08,1.0
2030,sc01,01-28 22:00:00+01:00,ST NG 04,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 31,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 50,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 24,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 10,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 71,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 05,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 49,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 27,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 40,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 33,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 43,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 26,1.0
2030,sc01,01-28 22:00:00+01:00,CT NG 52,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 23,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 42,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 38,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 44,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 04,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 24,1.0
2030,sc01,01-28 22:00:00+01:00,CT NG 02,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 54,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 66,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 01,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 55,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 04,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 06,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 07,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 30,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 07,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 14,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 45,0.0
2030,sc01,01-28 22:00:00+01:00,CT Oil 05,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 10,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 12,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 47,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 09,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 01,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 08,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 12,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 32,0.0
2030,sc01,01-28 22:00:00+01:00,ST NG 02,0.0
2030,sc01,01-28 22:00:00+01:00,CC NG 18,0.8661122896303254
2030,sc01,01-28 22:00:00+01:00,CC NG 36,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 28,0.0
2030,sc01,01-28 22:00:00+01:00,CT NG 15,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 34,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 35,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 06,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 26,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 67,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 06,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 17,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 56,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 37,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 07,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 22,0.34470818656569624
2030,sc01,01-29 03:00:00+01:00,CC NG 23,0.7798905001160749
2030,sc01,01-29 03:00:00+01:00,CC NG 13,1.0
2030,sc01,01-29 03:00:00+01:00,ST NG 08,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 09,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 29,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 10,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 74,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 75,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 03,0.0
2030,sc01,01-29 03:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 19,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 05,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 39,0.16728359022873418
2030,sc01,01-29 03:00:00+01:00,CT NG 11,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 68,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 21,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 48,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 41,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 15,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 01,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 16,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 70,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 36,0.0
2030,sc01,01-29 03:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 53,0.0
2030,sc01,01-29 03:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 13,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 11,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 35,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 72,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 34,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 73,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 03,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 46,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 69,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 25,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 03,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 25,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 20,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 16,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 05,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 22,0.0
2030,sc01,01-29 03:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 14,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 28,0.6596770736708261
2030,sc01,01-29 03:00:00+01:00,ST NG 09,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 21,0.0
2030,sc01,01-29 03:00:00+01:00,CT Oil 04,1.0
2030,sc01,01-29 03:00:00+01:00,ST Other 02,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 08,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 04,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 31,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 50,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 24,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 10,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 71,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 05,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 49,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 27,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 40,0.3610892842439841
2030,sc01,01-29 03:00:00+01:00,CC NG 33,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 43,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 26,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 52,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 23,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 42,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 38,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 44,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 04,0.3198947835695849
2030,sc01,01-29 03:00:00+01:00,CT NG 24,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 02,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 54,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 66,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 01,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 55,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 04,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 06,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 07,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 30,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 07,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 14,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 45,1.0
2030,sc01,01-29 03:00:00+01:00,CT Oil 05,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 10,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 12,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 47,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 09,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 01,1.0
2030,sc01,01-29 03:00:00+01:00,CT NG 08,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 12,0.0
2030,sc01,01-29 03:00:00+01:00,CC NG 32,0.0
2030,sc01,01-29 03:00:00+01:00,ST NG 02,1.0
2030,sc01,01-29 03:00:00+01:00,CC NG 18,0.21834966363462432
2030,sc01,01-29 03:00:00+01:00,CC NG 36,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 28,0.0
2030,sc01,01-29 03:00:00+01:00,CT NG 15,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 34,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 35,0.3939454427286426
2030,sc01,01-29 12:00:00+01:00,CC NG 06,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 26,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 67,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 06,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 17,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 56,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 37,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 07,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 22,0.09579865083535097
2030,sc01,01-29 12:00:00+01:00,CC NG 23,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 13,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 08,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 09,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 29,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 10,0.11716856972315981
2030,sc01,01-29 12:00:00+01:00,CT NG 74,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 75,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 03,1.0
2030,sc01,01-29 12:00:00+01:00,ST Coal 01,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 19,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 05,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 39,0.8327164097712658
2030,sc01,01-29 12:00:00+01:00,CT NG 11,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 68,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 21,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 48,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 41,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 15,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 01,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 16,0.41337896511518246
2030,sc01,01-29 12:00:00+01:00,CT NG 70,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 36,0.0
2030,sc01,01-29 12:00:00+01:00,CT Oil 01,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 53,0.0
2030,sc01,01-29 12:00:00+01:00,CT Oil 03,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 13,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 11,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 35,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 72,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 34,0.7563520495005072
2030,sc01,01-29 12:00:00+01:00,CT NG 73,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 03,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 46,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 69,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 25,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 03,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 25,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 20,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 16,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 05,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 22,0.0
2030,sc01,01-29 12:00:00+01:00,CT Oil 02,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 14,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 28,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 09,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 21,0.0
2030,sc01,01-29 12:00:00+01:00,CT Oil 04,0.0
2030,sc01,01-29 12:00:00+01:00,ST Other 02,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 08,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 04,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 31,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 50,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 24,0.8118082917485547
2030,sc01,01-29 12:00:00+01:00,CC NG 10,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 71,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 05,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 49,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 27,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 40,0.6389107157560159
2030,sc01,01-29 12:00:00+01:00,CC NG 33,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 43,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 26,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 52,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 23,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 42,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 38,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 44,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 04,0.6801052164304151
2030,sc01,01-29 12:00:00+01:00,CT NG 24,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 02,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 54,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 66,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 01,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 55,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 04,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 06,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 07,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 30,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 07,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 14,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 45,0.0
2030,sc01,01-29 12:00:00+01:00,CT Oil 05,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 10,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 12,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 47,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 09,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 01,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 08,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 12,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 32,0.0
2030,sc01,01-29 12:00:00+01:00,ST NG 02,0.0
2030,sc01,01-29 12:00:00+01:00,CC NG 18,0.7817556770984502
2030,sc01,01-29 12:00:00+01:00,CC NG 36,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 28,0.0
2030,sc01,01-29 12:00:00+01:00,CT NG 15,0.0
2030,sc01,01-29 17:00:00+01:00,CT NG 34,0.0
2030,sc01,01-29 17:00:00+01:00,CC NG 35,0.04764474319491241
2030,sc01,01-29 17:00:00+01:00,CC NG 06,0.0
2030,sc01,01-29 17:00:00+01:00,CC NG 26,0.0
2030,sc01,01-29 17:00:00+01:00,CT NG 67,0.0
2030,sc01,01-29 17:00:00+01:00,ST NG 06,0.0
2030,sc01,01-29 17:00:00+01:00,CC NG 17,0.0
