Period,Scenario,LoadLevel,InitialNode,FinalNode,Circuit,p.u.
2030,sc01,01-03 02:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 02:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 02:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 02:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_3,eac1,-0.02202218526450256
2030,sc01,01-03 03:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 03:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 03:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 03:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 03:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_3,eac1,-0.02751950380450552
2030,sc01,01-03 04:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 04:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 04:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 04:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109652
2030,sc01,01-03 04:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_3,eac1,-0.03530155710451055
2030,sc01,01-03 05:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 05:00:00+01:00,Node_2,Node_3,eac1,-0.046677438204389965
2030,sc01,01-03 05:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 05:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 05:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_3,eac1,-0.03722822430450255
2030,sc01,01-03 06:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 06:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 06:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 06:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 06:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_3,eac1,-0.034764460924502555
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 07:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 07:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_3,eac1,-0.030525278314492255
2030,sc01,01-03 08:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,Node_2,Node_3,eac1,-0.046677438204408256
2030,sc01,01-03 08:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 08:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 08:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_3,eac1,-0.018904967304502557
2030,sc01,01-03 09:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 09:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 09:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 09:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 09:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_3,eac1,-0.0020174194845097304
2030,sc01,01-03 10:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 10:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 10:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 10:00:00+01:00,Node_2,Node_3,cac1,-0.011669359551092308
2030,sc01,01-03 10:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_3,eac1,0.0043835923211617
2030,sc01,01-03 11:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 11:00:00+01:00,Node_2,Node_3,eac1,-0.04389302084893387
2030,sc01,01-03 11:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 11:00:00+01:00,Node_2,Node_3,cac1,-0.010973255212227827
2030,sc01,01-03 11:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_3,eac1,0.005816466639011253
2030,sc01,01-03 12:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 12:00:00+01:00,Node_2,Node_3,eac1,-0.04177997353522045
2030,sc01,01-03 12:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 12:00:00+01:00,Node_2,Node_3,cac1,-0.010444993383790811
2030,sc01,01-03 12:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_3,eac1,0.0046196399863731585
2030,sc01,01-03 13:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 13:00:00+01:00,Node_2,Node_3,eac1,-0.0400149435010988
2030,sc01,01-03 13:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 13:00:00+01:00,Node_2,Node_3,cac1,-0.01000373587527436
2030,sc01,01-03 13:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_3,eac1,0.0024003065316904326
2030,sc01,01-03 14:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 14:00:00+01:00,Node_2,Node_3,eac1,-0.03955702788135795
2030,sc01,01-03 14:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 14:00:00+01:00,Node_2,Node_3,cac1,-0.00988925697033248
2030,sc01,01-03 14:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_3,eac1,0.0014908043238045648
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,eac1,-0.04333010468304366
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 15:00:00+01:00,Node_2,Node_3,cac1,-0.010832526170760914
2030,sc01,01-03 15:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_3,eac1,-0.009520071384493178
2030,sc01,01-03 16:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820440734
2030,sc01,01-03 16:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 16:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 16:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_3,eac1,-0.028074159754502573
2030,sc01,01-03 17:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 17:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 17:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 17:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_3,eac1,-0.031147566134499982
2030,sc01,01-03 18:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 18:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820440054
2030,sc01,01-03 18:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 18:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 18:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,eac1,-0.02916727264448582
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820441468
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 19:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 19:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,eac1,-0.028236361154498013
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 20:00:00+01:00,Node_2,Node_3,cac1,-0.011669359551104028
2030,sc01,01-03 20:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,eac1,-0.02548760366450256
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 21:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 21:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,eac1,-0.02181025561451122
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,eac1,-0.046677438204389285
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 22:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 22:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,eac1,-0.01981999288450255
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-03 23:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-03 23:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,eac1,-0.0203221333545045
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,eac1,-0.046677438204396016
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 00:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-06 00:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,eac1,-0.02082015269450256
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 01:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-06 01:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,eac1,-0.022441161334583626
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,eac1,-0.046677438204316885
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 02:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-06 02:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_3,eac1,-0.025460975474494774
2030,sc01,01-06 03:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 03:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820440573
2030,sc01,01-06 03:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_3,cac3,0.0
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_2,cac1,0.0
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_2,eac1,0.0525
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_2,cac2,0.0
2030,sc01,01-06 03:00:00+01:00,Node_2,Node_3,cac1,-0.01166935955109949
2030,sc01,01-06 03:00:00+01:00,Node_1,Node_3,cac1,0.0
2030,sc01,01-06 04:00:00+01:00,Node_1,Node_2,cac3,0.0
2030,sc01,01-06 04:00:00+01:00,Node_1,Node_3,eac1,-0.033514911884502396
2030,sc01,01-06 04:00:00+01:00,Node_2,Node_3,cac2,0.0
2030,sc01,01-06 04:00:00+01:00,Node_1,Node_3,cac2,0.0
2030,sc01,01-06 04:00:00+01:00,Node_2,Node_3,eac1,-0.04667743820439796
2030,sc01,01-06 04:00:00+01:00,Node_2,Node_3,cac3,0.0
2030,sc01,01-06 04:00:00+01:00,Node_1,Node_3,cac3,0.0
